Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
35 1000.00 1298.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
36 1000.00 1295.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
37 1000.00 1292.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
38 1000.00 1289.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
39 1000.00 1286.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
40 1000.00 1283.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
41 1000.00 1280.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
42 1000.00 1277.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
43 1000.00 1274.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
108 1000.00 1074.02 35.101051 50.6695 3.06466 9.17981 2.47799 0 18.9697 0.664269 2.4162 0 0 7.9927 3.19748 0.550911 0.5341 0.282593 0
44 1000.00 1271.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
45 1000.00 1268.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
46 1000.00 1265.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
47 1000.00 1262.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
48 1000.00 1259.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
49 1000.00 1256.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
50 1000.00 1253.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
51 1000.00 1250.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
52 1000.00 1247.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
53 1000.00 1244.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
54 1000.00 1241.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
55 1000.00 1238.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
56 1000.00 1235.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
57 1000.00 1232.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
58 1000.00 1229.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
109 1000.00 1069.03 33.421443 50.9153 2.89802 9.00893 2.53358 0 19.2203 0.687114 2.20945 0 0 7.85271 3.24423 0.572616 0.560941 0.296794 0
59 1000.00 1226.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
60 1000.00 1223.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
61 1000.00 1220.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
62 1000.00 1217.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
63 1000.00 1214.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
64 1000.00 1211.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
65 1000.00 1208.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
66 1000.00 1205.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
67 1000.00 1202.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
68 1000.00 1199.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
69 1000.00 1196.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
70 1000.00 1193.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
71 1000.00 1190.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
110 1000.00 1064.05 31.895503 51.1515 2.74286 8.84042 2.58877 0 19.4496 0.710099 2.01446 0 0 7.72008 3.2894 0.593987 0.587778 0.310994 0
72 1000.00 1187.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
73 1000.00 1184.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
74 1000.00 1181.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
75 1000.00 1178.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
76 1000.00 1179.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
77 1000.00 1178.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
78 1000.00 1178.10 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
