System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
33 1000.00 1304.00 100.000000 1.0000000000000000 1.000000 -1162471.815568 276.212293 36.909210 147.211896 -215.974570 2564.097367 -8.049 -8.049 2.709351 0.000000 1.916 n/a n/a
34 1000.00 1301.00 100.000000 1.0000000000000000 1.000000 -1162913.451087 275.932005 36.901518 147.211783 -215.961488 2564.027535 -8.081 -8.081 2.709916 0.000000 1.927 n/a n/a
35 1000.00 1298.00 100.000000 1.0000000000000000 1.000000 -1163355.086268 275.651183 36.893826 147.211670 -215.948421 2563.957112 -8.113 -8.113 2.710481 0.000000 1.939 n/a n/a
36 1000.00 1295.00 100.000000 1.0000000000000000 1.000000 -1163796.721109 275.369824 36.886134 147.211558 -215.935371 2563.886097 -8.144 -8.144 2.711046 0.000000 1.951 n/a n/a
37 1000.00 1292.00 100.000000 1.0000000000000000 1.000000 -1164238.355613 275.087926 36.878443 147.211445 -215.922336 2563.814490 -8.176 -8.176 2.711611 0.000000 1.963 n/a n/a
38 1000.00 1289.00 100.000000 1.0000000000000000 1.000000 -1164679.989778 274.805488 36.870752 147.211332 -215.909316 2563.742292 -8.208 -8.208 2.712177 0.000000 1.975 n/a n/a
39 1000.00 1286.00 100.000000 1.0000000000000000 1.000000 -1165121.623605 274.522508 36.863060 147.211219 -215.896312 2563.669502 -8.241 -8.241 2.712743 0.000000 1.987 n/a n/a
40 1000.00 1283.00 100.000000 1.0000000000000000 1.000000 -1165563.257094 274.238982 36.855370 147.211107 -215.883324 2563.596121 -8.273 -8.273 2.713309 0.000000 1.999 n/a n/a
41 1000.00 1280.00 100.000000 1.0000000000000000 1.000000 -1166004.890245 273.954910 36.847679 147.210994 -215.870352 2563.522148 -8.306 -8.306 2.713875 0.000000 2.011 n/a n/a
42 1000.00 1277.00 100.000000 1.0000000000000000 1.000000 -1166446.523057 273.670288 36.839988 147.210881 -215.857395 2563.447584 -8.339 -8.339 2.714442 0.000000 2.023 n/a n/a
43 1000.00 1274.00 100.000000 1.0000000000000000 1.000000 -1166888.155532 273.385115 36.832298 147.210768 -215.844454 2563.372429 -8.371 -8.371 2.715008 0.000000 2.035 n/a n/a
44 1000.00 1271.00 100.000000 1.0000000000000000 1.000000 -1167329.787668 273.099389 36.824608 147.210656 -215.831529 2563.296681 -8.404 -8.404 2.715575 0.000000 2.047 n/a n/a
45 1000.00 1268.00 100.000000 1.0000000000000000 1.000000 -1167771.419466 272.813108 36.816918 147.210543 -215.818619 2563.220343 -8.438 -8.438 2.716143 0.000000 2.059 n/a n/a
46 1000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1168213.050927 272.526269 36.809229 147.210430 -215.805725 2563.143412 -8.471 -8.471 2.716710 0.000000 2.072 n/a n/a
47 1000.00 1262.00 100.000000 1.0000000000000000 1.000000 -1168654.682049 272.238870 36.801540 147.210318 -215.792846 2563.065891 -8.505 -8.505 2.717278 0.000000 2.084 n/a n/a
48 1000.00 1259.00 100.000000 1.0000000000000000 1.000000 -1169096.312834 271.950910 36.793850 147.210205 -215.779983 2562.987777 -8.538 -8.538 2.717845 0.000000 2.096 n/a n/a
49 1000.00 1256.00 100.000000 1.0000000000000000 1.000000 -1169537.943281 271.662385 36.786162 147.210093 -215.767136 2562.909072 -8.572 -8.572 2.718414 0.000000 2.109 n/a n/a
50 1000.00 1253.00 100.000000 1.0000000000000000 1.000000 -1169979.573390 271.373294 36.778473 147.209980 -215.754304 2562.829776 -8.606 -8.606 2.718982 0.000000 2.121 n/a n/a
51 1000.00 1250.00 100.000000 1.0000000000000000 1.000000 -1170421.203161 271.083634 36.770785 147.209868 -215.741488 2562.749888 -8.640 -8.640 2.719550 0.000000 2.134 n/a n/a
52 1000.00 1247.00 100.000000 1.0000000000000000 1.000000 -1170862.832595 270.793403 36.763096 147.209755 -215.728688 2562.669409 -8.675 -8.675 2.720119 0.000000 2.146 n/a n/a
53 1000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1171304.461691 270.502599 36.755409 147.209642 -215.715904 2562.588338 -8.709 -8.709 2.720688 0.000000 2.159 n/a n/a
54 1000.00 1241.00 100.000000 1.0000000000000000 1.000000 -1171746.090449 270.211220 36.747721 147.209530 -215.703135 2562.506676 -8.744 -8.744 2.721257 0.000000 2.172 n/a n/a
55 1000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1172187.718870 269.919263 36.740034 147.209417 -215.690381 2562.424422 -8.779 -8.779 2.721827 0.000000 2.184 n/a n/a
56 1000.00 1235.00 100.000000 1.0000000000000000 1.000000 -1172629.346954 269.626726 36.732346 147.209305 -215.677644 2562.341577 -8.814 -8.814 2.722396 0.000000 2.197 n/a n/a
57 1000.00 1232.00 100.000000 1.0000000000000000 1.000000 -1173070.974699 269.333607 36.724660 147.209192 -215.664922 2562.258140 -8.849 -8.849 2.722966 0.000000 2.210 n/a n/a
58 1000.00 1229.00 100.000000 1.0000000000000000 1.000000 -1173512.602108 269.039903 36.716973 147.209080 -215.652215 2562.174111 -8.884 -8.884 2.723536 0.000000 2.223 n/a n/a
59 1000.00 1226.00 100.000000 1.0000000000000000 1.000000 -1173954.229178 268.745613 36.709286 147.208967 -215.639525 2562.089491 -8.920 -8.920 2.724106 0.000000 2.236 n/a n/a
60 1000.00 1223.00 100.000000 1.0000000000000000 1.000000 -1174395.855912 268.450733 36.701600 147.208855 -215.626850 2562.004280 -8.955 -8.955 2.724677 0.000000 2.249 n/a n/a
61 1000.00 1220.00 100.000000 1.0000000000000000 1.000000 -1174837.482308 268.155261 36.693914 147.208742 -215.614190 2561.918477 -8.991 -8.991 2.725248 0.000000 2.262 n/a n/a
62 1000.00 1217.00 100.000000 1.0000000000000000 1.000000 -1175279.108367 267.859196 36.686229 147.208630 -215.601546 2561.832082 -9.027 -9.027 2.725818 0.000000 2.275 n/a n/a
63 1000.00 1214.00 100.000000 1.0000000000000000 1.000000 -1175720.734088 267.562534 36.678543 147.208518 -215.588918 2561.745096 -9.063 -9.063 2.726390 0.000000 2.288 n/a n/a
64 1000.00 1211.00 100.000000 1.0000000000000000 1.000000 -1176162.359473 267.265273 36.670858 147.208405 -215.576306 2561.657519 -9.100 -9.100 2.726961 0.000000 2.301 n/a n/a
65 1000.00 1208.00 100.000000 1.0000000000000000 1.000000 -1176603.984520 266.967411 36.663174 147.208293 -215.563709 2561.569350 -9.136 -9.136 2.727533 0.000000 2.314 n/a n/a
66 1000.00 1205.00 100.000000 1.0000000000000000 1.000000 -1177039.254129 266.673242 36.655489 143.772263 -215.551128 2561.480589 -9.173 -9.173 2.728104 0.000000 2.328 n/a n/a
67 1000.00 1202.00 100.000000 1.0000000000000000 1.000000 -1177470.567170 266.381153 36.647805 143.769756 -215.538563 2561.391237 -9.210 -9.210 2.728676 0.000000 2.341 n/a n/a
68 1000.00 1199.00 100.000000 1.0000000000000000 1.000000 -1177901.872617 266.088474 36.640121 143.767201 -215.526013 2561.301294 -9.247 -9.247 2.729249 0.000000 2.354 n/a n/a
69 1000.00 1196.00 100.000000 1.0000000000000000 1.000000 -1178333.170325 265.795204 36.632437 143.764596 -215.513479 2561.210759 -9.284 -9.284 2.729821 0.000000 2.368 n/a n/a
70 1000.00 1193.00 100.000000 1.0000000000000000 1.000000 -1178764.460144 265.501340 36.624753 143.761942 -215.500960 2561.119632 -9.322 -9.322 2.730394 0.000000 2.381 n/a n/a
71 1000.00 1190.00 100.000000 1.0000000000000000 1.000000 -1179195.741928 265.206879 36.617070 143.759239 -215.488457 2561.027914 -9.359 -9.359 2.730967 0.000000 2.395 n/a n/a
72 1000.00 1187.00 100.000000 1.0000000000000000 1.000000 -1179627.015527 264.911820 36.609387 143.756486 -215.475970 2560.935604 -9.397 -9.397 2.731540 0.000000 2.409 n/a n/a
73 1000.00 1184.00 100.000000 1.0000000000000000 1.000000 -1180058.280791 264.616159 36.601704 143.753682 -215.463498 2560.842703 -9.435 -9.435 2.732113 0.000000 2.422 n/a n/a
74 1000.00 1181.00 100.000000 1.0000000000000000 1.000000 -1180489.537571 264.319895 36.594022 143.750829 -215.451042 2560.749210 -9.473 -9.473 2.732687 0.000000 2.436 n/a n/a
75 1000.00 1178.00 100.000000 0.9914792129816289 0.992799 -1181264.310881 263.786431 36.543016 143.442761 -214.453363 2550.326421 -9.511 -9.511 2.732863 3.238132 2.456 n/a n/a
76 1000.00 1179.00 100.000000 0.9967431984523871 0.997249 -1180908.469555 264.031559 36.572337 143.632240 -215.066221 2556.743937 -9.499 -9.499 2.732920 3.237252 2.448 n/a n/a
77 1000.00 1180.00 100.000000 1.0000000000000000 1.000000 -1180633.287919 264.221006 36.591461 143.749867 -215.446894 2560.717915 -9.486 -9.486 2.732878 0.000000 2.441 n/a n/a
78 1000.00 1179.00 100.000000 0.9967431984543681 0.997249 -1180908.469555 264.031559 36.572337 143.632240 -215.066221 2556.743937 -9.499 -9.499 2.732920 3.237252 2.448 n/a n/a
79 1000.00 1179.10 100.000000 0.9972720008208653 0.997696 -1180872.765122 264.056146 36.575282 143.651278 -215.127776 2557.387668 -9.498 -9.498 2.732925 3.237164 2.447 n/a n/a
80 1000.00 1179.20 100.000000 0.9978012438550340 0.998143 -1180837.038652 264.080746 36.578230 143.670331 -215.189380 2558.031763 -9.496 -9.496 2.732930 3.237077 2.446 n/a n/a
81 1000.00 1179.30 100.000000 0.9983309284670588 0.998590 -1180801.290103 264.105359 36.581179 143.689401 -215.251033 2558.676223 -9.495 -9.495 2.732936 3.236989 2.445 n/a n/a
82 1000.00 1179.40 100.000000 0.9988610555585202 0.999038 -1180765.519435 264.129986 36.584132 143.708487 -215.312737 2559.321049 -9.494 -9.494 2.732941 3.236901 2.444 n/a n/a
83 1000.00 1179.50 100.000000 0.9993916260484557 0.999486 -1180729.726606 264.154627 36.587086 143.727590 -215.374489 2559.966242 -9.493 -9.493 2.732946 3.236813 2.443 n/a n/a
84 1000.00 1179.60 100.000000 0.9999226408258037 0.999935 -1180693.911574 264.179281 36.590044 143.746709 -215.436292 2560.611802 -9.491 -9.491 2.732951 3.236726 2.442 n/a n/a
85 1000.00 1179.70 100.000000 1.0000000000000000 1.000000 -1180676.412836 264.191326 36.590693 143.749577 -215.445650 2560.708513 -9.490 -9.490 2.732935 0.000000 2.442 n/a n/a
86 1000.00 1179.60 100.000000 0.9999226408473016 0.999935 -1180693.911573 264.179281 36.590044 143.746709 -215.436292 2560.611802 -9.491 -9.491 2.732951 3.236726 2.442 n/a n/a
87 1000.00 1180.00 100.000000 1.0000000000000000 1.000000 -1180633.287919 264.221006 36.591461 143.749867 -215.446894 2560.717915 -9.486 -9.486 2.732878 0.000000 2.441 n/a n/a
88 1000.00 1179.70 100.000000 1.0000000000000000 1.000000 -1180676.412836 264.191326 36.590693 143.749577 -215.445650 2560.708513 -9.490 -9.490 2.732935 0.000000 2.442 n/a n/a
89 1000.00 1179.80 100.000000 1.0000000000000000 1.000000 -1180662.037873 264.201220 36.590949 143.749673 -215.446064 2560.711648 -9.489 -9.489 2.732916 0.000000 2.441 n/a n/a
90 1000.00 1159.33 100.000000 0.8130982138225337 0.825448 -1190303.713252 257.515979 35.846279 138.106683 -187.567473 2338.078170 -9.678 -9.678 2.747951 2.987069 2.518 n/a n/a
91 1000.00 1138.87 81.314769 0.7909880909729223 0.800529 -954738.384568 207.590939 28.981811 110.901412 -153.080450 1921.440123 -9.797 -9.797 2.772277 2.939923 2.536 n/a n/a
92 1000.00 1118.40 64.326193 0.8152772036621153 0.822279 -739961.596503 163.212444 22.780434 87.202198 -126.336721 1592.837905 -9.914 -9.914 2.799702 2.935002 2.528 n/a n/a
93 1000.00 1097.93 52.450888 0.8201174282993128 0.828022 -591407.413428 131.860996 18.399615 70.369154 -105.559555 1335.787822 -10.040 -10.040 2.823439 2.981672 2.535 n/a n/a
94 1000.00 1077.47 43.024565 0.7103815225568779 0.752747 -477876.922230 105.714635 14.864709 55.226696 -84.729811 945.028634 -11.155 -11.155 2.731511 3.390347 3.162 n/a n/a
95 1000.00 1057.00 30.573346 0.7764457653964620 0.810904 -348197.258943 75.504311 11.009905 39.515381 -71.565175 691.105634 -12.066 -12.066 2.658894 3.282918 3.697 n/a n/a
96 1000.00 1036.53 23.747634 0.8214528632931062 0.851107 -276794.529796 58.710350 8.820335 30.809760 -63.044397 547.732145 -12.873 -12.873 2.598567 3.228594 4.163 n/a n/a
97 1000.00 1016.07 19.516736 0.8550649388793714 0.880749 -232451.442901 48.210905 7.433673 25.386470 -57.249292 458.834611 -13.641 -13.641 2.548888 3.190913 4.588 n/a n/a
98 1000.00 995.60 16.700423 0.8820670681798307 0.904100 -202693.624635 41.159006 6.495946 21.746661 -53.116057 399.564473 -14.390 -14.390 2.508246 3.161564 4.957 n/a n/a
99 1000.00 975.13 14.743299 0.8994611342795581 0.918984 -181923.563821 36.187284 5.833477 19.183819 -49.902174 356.490073 -15.133 -15.133 2.473669 3.136387 5.299 n/a n/a
100 1000.00 954.67 13.275401 0.9118159412422128 0.918984 -181923.563821 36.187284 5.833477 19.183819 -49.902174 356.490073 -15.515 -15.515 2.257977 2.477073 5.640 n/a n/a
