Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
38 1000.00 1289.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
39 1000.00 1286.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
40 1000.00 1283.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
41 1000.00 1280.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
42 1000.00 1277.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
43 1000.00 1274.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
44 1000.00 1271.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
45 1000.00 1268.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
46 1000.00 1265.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
47 1000.00 1262.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
48 1000.00 1259.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
49 1000.00 1256.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
50 1000.00 1253.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
51 1000.00 1250.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
52 1000.00 1247.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
53 1000.00 1244.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
54 1000.00 1241.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
55 1000.00 1238.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
56 1000.00 1235.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
57 1000.00 1232.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
58 1000.00 1229.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
59 1000.00 1226.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
60 1000.00 1223.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
61 1000.00 1220.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
62 1000.00 1217.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
63 1000.00 1214.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
64 1000.00 1211.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
65 1000.00 1208.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
66 1000.00 1205.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
67 1000.00 1202.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
68 1000.00 1199.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
69 1000.00 1196.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
70 1000.00 1193.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
71 1000.00 1190.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
72 1000.00 1187.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
73 1000.00 1184.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
74 1000.00 1181.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
75 1000.00 1178.00 99.147921 50.3784 2.05199 13.2 1.47013 0 11.9435 0.251987 6.49053 0 0 11.1893 2.48831 0.246987 0.18899 0.0999948
76 1000.00 1179.00 99.674320 50.3832 2.04357 13.1515 1.46934 0 11.918 0.250656 6.54224 0 0 11.2322 2.47613 0.245683 0.187992 0.0994667
77 1000.00 1180.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
78 1000.00 1179.00 99.674320 50.3832 2.04357 13.1515 1.46934 0 11.918 0.250656 6.54224 0 0 11.2322 2.47613 0.245683 0.187992 0.0994667
79 1000.00 1179.10 99.727200 50.3837 2.04273 13.1466 1.46926 0 11.9155 0.250523 6.54742 0 0 11.2365 2.47492 0.245553 0.187892 0.099414
80 1000.00 1179.20 99.780124 50.3842 2.04188 13.1417 1.46918 0 11.9129 0.25039 6.55261 0 0 11.2408 2.4737 0.245422 0.187793 0.0993613
81 1000.00 1179.30 99.833093 50.3847 2.04104 13.1369 1.46909 0 11.9103 0.250258 6.5578 0 0 11.2451 2.47248 0.245292 0.187693 0.0993085
82 1000.00 1179.40 99.886106 50.3852 2.04019 13.132 1.46901 0 11.9077 0.250125 6.563 0 0 11.2494 2.47127 0.245162 0.187594 0.0992558
83 1000.00 1179.50 99.939163 50.3857 2.03935 13.1271 1.46892 0 11.9052 0.249992 6.5682 0 0 11.2537 2.47005 0.245032 0.187494 0.0992031
84 1000.00 1179.60 99.992264 50.3863 2.0385 13.1223 1.46884 0 11.9026 0.249859 6.5734 0 0 11.258 2.46883 0.244902 0.187394 0.0991505
85 1000.00 1179.70 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
86 1000.00 1179.60 99.992264 50.3863 2.0385 13.1223 1.46884 0 11.9026 0.249859 6.5734 0 0 11.258 2.46883 0.244902 0.187394 0.0991505
87 1000.00 1180.00 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
88 1000.00 1179.70 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
89 1000.00 1179.80 100.000000 50.3863 2.03838 13.1215 1.46882 0 11.9022 0.24984 6.57416 0 0 11.2587 2.46866 0.244883 0.18738 0.0991428
90 1000.00 1174.80 97.272970 50.3645 2.08304 13.3246 1.47511 0 12.0461 0.256844 6.33382 0 0 11.0429 2.52694 0.251601 0.192633 0.101922
91 1000.00 1169.80 91.988702 50.325 2.18707 13.1674 1.51816 0 12.4887 0.271598 6.17225 0 0 10.716 2.57842 0.263855 0.203699 0.107777
92 1000.00 1164.81 87.125221 50.2754 2.29407 13.006 1.56401 0 12.9282 0.286759 6.00722 0 0 10.4068 2.62646 0.27624 0.21507 0.113793
93 1000.00 1159.81 82.595737 50.2144 2.40545 12.8381 1.61329 0 13.3657 0.302485 5.83586 0 0 10.1177 2.67133 0.28886 0.226864 0.120034
94 1000.00 1154.81 78.295606 50.139 2.52419 12.6577 1.66752 0 13.8027 0.319098 5.65201 0 0 9.85652 2.71332 0.301932 0.239324 0.126626
95 1000.00 1149.81 73.557913 50.0186 2.67748 12.3772 1.74388 0 14.2396 0.339651 5.3886 0 0 9.75631 2.75167 0.317453 0.254738 0.134782
96 1000.00 1144.82 69.563788 49.9044 2.8204 12.1286 1.81391 0 14.6676 0.359152 5.1621 0 0 9.61427 2.78564 0.331964 0.269364 0.142521
97 1000.00 1139.82 65.953085 49.7836 2.96403 11.88 1.88461 0 15.0893 0.378814 4.94469 0 0 9.47883 2.81533 0.346285 0.284111 0.150323
98 1000.00 1134.82 62.670826 49.6562 3.10852 11.6312 1.95607 0 15.5053 0.398654 4.73575 0 0 9.3497 2.84092 0.360422 0.298991 0.158196
99 1000.00 1129.82 59.672012 49.5222 3.25401 11.3821 2.02835 0 15.9162 0.418688 4.53471 0 0 9.22665 2.86254 0.374379 0.314016 0.166146
100 1000.00 1124.83 56.919455 49.3814 3.40064 11.1325 2.10152 0 16.3226 0.438936 4.34107 0 0 9.10947 2.88032 0.388159 0.329202 0.174181
101 1000.00 1119.83 54.382156 49.2339 3.54858 10.8824 2.17566 0 16.7248 0.459415 4.15434 0 0 8.99795 2.89437 0.401764 0.344561 0.182308
102 1000.00 1114.83 52.034068 49.0795 3.69797 10.6316 2.25084 0 17.1233 0.480147 3.97412 0 0 8.89195 2.90481 0.415196 0.36011 0.190534
103 1000.00 1109.83 49.853144 48.9181 3.84899 10.38 2.32715 0 17.5184 0.501152 3.79998 0 0 8.79131 2.91171 0.428454 0.375864 0.19887
104 1000.00 1104.83 47.820597 48.7497 4.00179 10.1275 2.40467 0 17.9106 0.522452 3.63157 0 0 8.69591 2.91516 0.441539 0.391839 0.207322
105 1000.00 1099.84 45.602286 48.6931 4.05132 9.89242 2.48229 0 18.3051 0.544119 3.43762 0 0 8.5779 2.93041 0.457401 0.4109 0.217407
106 1000.00 1094.84 41.844794 49.7716 3.63866 9.95907 2.31089 0 18.0267 0.593028 3.06769 0 0 8.38497 3.06958 0.493155 0.447797 0.23693
